,Time,Price
434274,2013-04-23 12:39:00,14713.4
434275,2013-04-23 12:40:00,14714.5
434276,2013-04-23 12:41:00,14714.5
434277,2013-04-23 12:42:00,14717.1
434278,2013-04-23 12:43:00,14714.9
434279,2013-04-23 12:44:00,14713.7
434280,2013-04-23 12:45:00,14713.7
434281,2013-04-23 12:46:00,14713.7
434282,2013-04-23 12:47:00,14712.6
434283,2013-04-23 12:48:00,14711.4
434284,2013-04-23 12:49:00,14707.9
434285,2013-04-23 12:50:00,14701.2
434286,2013-04-23 12:51:00,14698.6
434287,2013-04-23 12:52:00,14697.5
434288,2013-04-23 12:53:00,14695.2
434289,2013-04-23 12:54:00,14696.3
434290,2013-04-23 12:55:00,14696.3
434291,2013-04-23 12:56:00,14697.5
434292,2013-04-23 12:57:00,14698.6
434293,2013-04-23 12:58:00,14699.8
434294,2013-04-23 12:59:00,14699.8
434295,2013-04-23 13:00:00,14704.6
434296,2013-04-23 13:01:00,14702.3
434297,2013-04-23 13:02:00,14703.4
434298,2013-04-23 13:03:00,14702.3
434299,2013-04-23 13:04:00,14702.3
434300,2013-04-23 13:05:00,14701.0
434301,2013-04-23 13:06:00,14701.0
434302,2013-04-23 13:07:00,14699.7
434303,2013-04-23 13:08:00,14697.4
434304,2013-04-23 13:09:00,14653.0
434305,2013-04-23 13:10:00,14565.9
434306,2013-04-23 13:11:00,14599.5
434307,2013-04-23 13:12:00,14664.2
434308,2013-04-23 13:13:00,14691.0
434309,2013-04-23 13:14:00,14686.3
434310,2013-04-23 13:15:00,14695.6
434311,2013-04-23 13:16:00,14688.1
434312,2013-04-23 13:17:00,14694.0
434313,2013-04-23 13:18:00,14696.5
434314,2013-04-23 13:19:00,14699.0
434315,2013-04-23 13:20:00,14694.0
434316,2013-04-23 13:21:00,14694.2
434317,2013-04-23 13:22:00,14702.5
434318,2013-04-23 13:23:00,14698.0
434319,2013-04-23 13:24:00,14696.7
434320,2013-04-23 13:25:00,14694.5
434321,2013-04-23 13:26:00,14690.7
434322,2013-04-23 13:27:00,14683.9
434323,2013-04-23 13:28:00,14686.4
434324,2013-04-23 13:29:00,14690.2
434325,2013-04-23 13:30:00,14690.0
434326,2013-04-23 13:31:00,14687.9
434327,2013-04-23 13:32:00,14692.4
434328,2013-04-23 13:33:00,14685.1
434329,2013-04-23 13:34:00,14689.7
434330,2013-04-23 13:35:00,14690.9
434331,2013-04-23 13:36:00,14687.4
434332,2013-04-23 13:37:00,14692.2
434333,2013-04-23 13:38:00,14692.0
434334,2013-04-23 13:39:00,14687.3
434335,2013-04-23 13:40:00,14686.1
434336,2013-04-23 13:41:00,14687.3
434337,2013-04-23 13:42:00,14687.4
434338,2013-04-23 13:43:00,14687.3
434339,2013-04-23 13:44:00,14688.4
434340,2013-04-23 13:45:00,14688.4
434341,2013-04-23 13:46:00,14696.5
434342,2013-04-23 13:47:00,14695.4
434343,2013-04-23 13:48:00,14701.3
434344,2013-04-23 13:49:00,14700.0
434345,2013-04-23 13:50:00,14700.1
434346,2013-04-23 13:51:00,14696.4
434347,2013-04-23 13:52:00,14695.0
434348,2013-04-23 13:53:00,14696.2
434349,2013-04-23 13:54:00,14697.4
434350,2013-04-23 13:55:00,14696.3
434351,2013-04-23 13:56:00,14699.8
434352,2013-04-23 13:57:00,14695.3
434353,2013-04-23 13:58:00,14696.4
434354,2013-04-23 13:59:00,14697.6
434355,2013-04-23 14:00:00,14698.7
434356,2013-04-23 14:01:00,14695.1
434357,2013-04-23 14:02:00,14697.5
434358,2013-04-23 14:03:00,14697.3
434359,2013-04-23 14:04:00,14698.7
434360,2013-04-23 14:05:00,14698.7
434361,2013-04-23 14:06:00,14699.9
434362,2013-04-23 14:07:00,14698.7
434363,2013-04-23 14:08:00,14699.9
434364,2013-04-23 14:09:00,14698.6
434365,2013-04-23 14:10:00,14701.0
434366,2013-04-23 14:11:00,14699.8
434367,2013-04-23 14:12:00,14699.8
434368,2013-04-23 14:13:00,14699.8
434369,2013-04-23 14:14:00,14696.3
434370,2013-04-23 14:15:00,14698.6
434371,2013-04-23 14:16:00,14698.6
434372,2013-04-23 14:17:00,14691.4
434373,2013-04-23 14:18:00,14693.6
434374,2013-04-23 14:19:00,14694.8
434375,2013-04-23 14:20:00,14690.2
434376,2013-04-23 14:21:00,14687.9
434377,2013-04-23 14:22:00,14686.8
434378,2013-04-23 14:23:00,14684.4
434379,2013-04-23 14:24:00,14682.1
